Date,Ikan Kembung,Ikan Tongkol,Ikan Bandeng,Provinsi
2023-01-27,44.66,38.33,34.4,Sumatera Barat
2023-01-28,45.37,38.28,34.33,Sumatera Barat
2023-01-29,43.68,38.51,35.29,Sumatera Barat
2023-01-30,43.86,38.32,34.58,Sumatera Barat
2023-01-31,44.37,38.73,37.29,Sumatera Barat
2023-02-01,43.47,38.56,32.97,Sumatera Barat
2023-02-02,45.31,39.24,35.33,Sumatera Barat
2023-02-03,44.84,38.567142857142855,35.56,Sumatera Barat
2023-02-04,44.62,39.31,36.01,Sumatera Barat
2023-02-05,44.66,39.29,34.48,Sumatera Barat
2023-02-06,44.73,38.16,35.52,Sumatera Barat
2023-02-07,44.92,39.12,35.33,Sumatera Barat
2023-02-08,46.68,38.99,35.52,Sumatera Barat
2023-02-09,43.11,38.74,35.56,Sumatera Barat
2023-02-10,45.18,38.42,35.17,Sumatera Barat
2023-02-11,44.89,39.91,35.37,Sumatera Barat
2023-02-12,44.82,39.64,35.91,Sumatera Barat
2023-02-13,45.22,39.21,35.75,Sumatera Barat
2023-02-14,45.09,38.87,35.51571428571428,Sumatera Barat
2023-02-15,44.39,38.31,33.78,Sumatera Barat
2023-02-16,45.21,38.48,35.89,Sumatera Barat
2023-02-17,44.97142857142857,38.66,36.12,Sumatera Barat
2023-02-18,43.93,37.63,35.51,Sumatera Barat
2023-02-19,44.02,38.26,34.5,Sumatera Barat
2023-02-20,44.61,38.79,36.14,Sumatera Barat
2023-02-21,44.8,39.49,36.3,Sumatera Barat
2023-02-22,44.36,37.91,33.06,Sumatera Barat
2023-02-23,45.07,38.36,36.87,Sumatera Barat
2023-02-24,43.91,38.3,34.91,Sumatera Barat
2023-02-25,44.19,38.06,38.46,Sumatera Barat
2023-02-26,44.41,38.7,38.16,Sumatera Barat
2023-02-27,43.72,37.93,37.51,Sumatera Barat
2023-02-28,42.95,38.65,37.07,Sumatera Barat
2023-03-01,44.08714285714285,38.27285714285714,37.66,Sumatera Barat
2023-03-02,44.17,38.17,37.42,Sumatera Barat
2023-03-03,43.919591836734696,37.32,34.64,Sumatera Barat
2023-03-04,44.59,38.19,37.28,Sumatera Barat
2023-03-05,44.04,38.08,37.04,Sumatera Barat
2023-03-06,44.87,38.08755102040816,37.07,Sumatera Barat
2023-03-07,45.15,37.19,37.04,Sumatera Barat
2023-03-08,44.99,37.43,37.22,Sumatera Barat
2023-03-09,45.58,37.92,33.68,Sumatera Barat
2023-03-10,45.48,37.74,36.47,Sumatera Barat
2023-03-11,44.83,37.14,36.47,Sumatera Barat
